state,District,MPCE_URP,MPCE_MRP,state_1
6,3,4114.2,3443.08,HR
6,3,4146.33,3724.83,HR
6,3,2810.25,2830.08,HR
6,3,3070.8,2758.88,HR
6,3,3278.8,3101.95,HR
6,3,1388.71,1451.77,HR
6,3,801.4,824.25,HR
6,3,930.8,993.29,HR
6,19,6300.33,6196.45,HR
6,19,15204.67,16667.73,HR
6,19,5368.0,6463.45,HR
6,19,4914.14,7423.11,HR
6,19,7332.75,7936.09,HR
6,19,7303.0,7577.98,HR
6,19,6768.25,7775.65,HR
6,19,5069.5,8247.46,HR
6,20,6741.0,6297.85,HR
6,20,4028.0,4030.49,HR
6,20,1041.43,1010.68,HR
6,20,1683.75,1706.32,HR
6,20,2774.33,2775.61,HR
6,20,1242.33,1225.29,HR
6,20,895.63,859.65,HR
6,20,1000.17,1006.63,HR
6,16,3862.0,3953.34,HR
6,16,3040.67,2479.34,HR
6,16,1293.17,1004.7,HR
6,16,1066.75,1122.37,HR
6,16,1683.0,1598.48,HR
6,16,2989.75,2268.76,HR
6,16,937.4,978.28,HR
6,16,984.69,1129.24,HR
6,17,2840.25,2914.36,HR
6,17,3981.0,5857.4,HR
6,17,1829.5,1816.38,HR
6,17,2118.33,2026.21,HR
6,17,1519.0,1632.47,HR
6,17,755.33,777.84,HR
6,17,1385.75,1347.5,HR
6,17,1287.25,1259.29,HR
6,19,6432.8,6768.58,HR
6,19,3529.25,3539.25,HR
6,19,1517.75,1545.28,HR
6,19,4535.25,4660.97,HR
6,19,4558.0,4265.67,HR
6,19,1134.5,1080.39,HR
6,19,1470.17,1486.3,HR
6,19,1143.5,1104.96,HR
6,15,4302.0,4800.08,HR
6,15,5700.33,6088.99,HR
6,15,2173.5,2096.31,HR
6,15,3363.0,3726.9,HR
6,15,2067.6,2079.53,HR
